iter	RMSE
0	14.04981269
1	13.9836995
2	13.9246688
3	13.86592289
4	13.80461451
5	13.74071042
6	13.69412302
7	13.63995459
8	13.58977981
9	13.54711134
10	13.49938268
11	13.45015734
12	13.41133025
13	13.36686736
14	13.32278839
15	13.27157169
16	13.23433975
17	13.18572035
18	13.16977164
19	13.13525727
20	13.09451964
21	13.05376183
22	13.01523042
23	12.98573276
24	12.94821486
25	12.93065988
26	12.89743517
27	12.86313413
28	12.83061769
29	12.79806899
30	12.76154131
31	12.74687418
32	12.71594112
33	12.68455129
34	12.65372148
35	12.62640519
36	12.59938961
37	12.56733772
38	12.53988655
39	12.51236265
40	12.49166311
