iter	Passed	Remaining
0	3	210
1	5	164
2	7	134
3	9	124
4	10	113
5	11	97
6	12	86
7	13	85
8	14	75
9	16	76
10	17	72
11	18	69
12	19	67
13	20	62
14	21	60
15	22	58
16	23	55
17	24	52
18	25	51
19	26	48
20	26	46
21	27	44
22	29	43
23	29	41
24	30	38
25	31	37
26	32	35
27	32	33
28	33	32
29	34	30
30	35	29
31	36	28
32	36	26
33	37	25
34	38	23
35	38	22
36	38	21
37	39	19
38	40	18
39	40	17
40	41	16
41	41	14
42	42	13
43	42	12
44	42	11
45	43	10
46	44	9
47	44	8
48	45	7
49	46	6
50	47	5
51	47	4
52	48	3
53	49	2
54	50	1
55	50	0
56	51	0
