iter	RMSE
0	13.82033745
1	13.55932106
2	13.32777315
3	13.11576616
4	12.96515775
5	12.84065458
6	12.68416804
7	12.60421122
8	12.5123831
9	12.47081189
10	12.34154122
11	12.2746237
12	12.20053842
13	12.08499625
14	12.01417249
15	11.94587397
16	11.89914405
17	11.80885269
18	11.73080568
19	11.67208048
20	11.6065522
21	11.59710741
22	11.53254751
23	11.50159655
24	11.47422562
25	11.42051632
26	11.35875902
27	11.30959502
28	11.2686277
29	11.26284498
30	11.25998515
31	11.25314268
32	11.24281762
33	11.2116176
34	11.20520299
35	11.18360426
36	11.18158294
37	11.18083417
