iter	Passed	Remaining
0	4	397
1	4	235
2	6	194
3	7	183
4	10	189
5	11	173
6	12	168
7	13	151
8	14	144
9	15	135
10	15	125
11	16	115
12	17	113
13	19	117
14	20	111
15	22	114
16	24	118
17	25	112
18	25	107
19	26	102
20	27	102
21	28	98
22	28	94
23	29	91
24	29	87
25	30	84
26	30	81
27	31	78
28	32	78
29	33	75
30	33	73
31	34	71
32	36	71
33	36	69
34	37	67
35	38	66
36	39	65
37	39	62
38	40	61
39	40	58
40	40	56
41	41	54
42	41	53
43	42	51
44	42	50
45	43	48
46	43	47
47	45	46
48	46	46
49	48	46
50	48	44
51	50	44
52	50	42
53	51	41
54	51	40
55	51	38
56	53	38
57	53	37
58	53	35
59	54	34
60	55	33
61	56	32
62	56	31
63	57	30
64	57	29
65	58	28
66	58	27
67	59	26
68	60	25
69	60	24
70	61	23
71	61	22
72	61	21
73	62	20
74	63	19
75	64	18
76	65	17
77	66	16
78	67	16
79	69	15
80	69	14
81	71	13
82	72	13
83	73	12
84	74	11
85	74	10
86	76	9
87	77	8
88	78	7
89	79	7
90	79	6
91	79	5
92	80	4
93	80	3
94	81	2
95	82	1
96	83	0
97	85	0
