iter	Passed	Remaining
0	0	656
1	0	489
2	1	440
3	1	438
4	2	434
5	2	435
6	2	404
7	3	400
8	3	399
9	4	402
10	4	401
11	5	413
12	5	416
13	5	419
14	6	418
15	6	419
16	7	419
17	7	419
18	8	418
19	8	418
20	8	417
21	9	415
22	9	411
23	10	411
24	10	410
25	11	412
26	11	413
27	11	414
28	12	414
29	12	413
30	13	413
31	13	412
32	14	412
33	14	412
34	14	412
35	15	411
36	15	411
37	16	410
38	16	407
39	16	407
40	17	406
41	17	405
42	18	405
43	18	404
44	19	404
45	19	404
46	19	403
47	20	402
48	20	402
49	21	401
50	21	401
51	22	401
52	22	400
53	22	400
54	23	400
55	23	398
56	24	399
57	24	399
58	25	399
59	25	399
60	25	399
61	26	399
62	26	398
63	27	397
64	27	397
65	28	396
66	28	396
67	28	395
68	29	395
69	29	396
70	30	396
71	30	393
72	30	392
73	31	390
74	31	389
75	31	388
76	32	385
77	32	382
78	32	382
79	33	381
80	33	380
81	33	379
82	34	378
83	34	377
84	34	376
85	35	375
86	35	375
87	36	375
88	36	374
89	37	374
90	37	373
91	37	373
92	38	372
93	38	371
94	38	371
95	39	369
96	39	368
97	39	367
98	40	367
99	40	366
100	40	364
101	41	363
102	41	363
103	42	363
104	42	363
105	43	362
106	43	362
107	43	361
108	44	359
109	44	359
110	44	358
111	45	357
112	45	356
113	45	354
114	45	353
115	46	353
116	46	352
117	47	352
118	47	351
119	47	351
120	48	351
121	48	351
122	49	349
123	49	349
124	49	348
125	50	348
126	50	347
127	50	347
128	51	345
129	51	345
130	51	344
131	52	344
132	52	343
133	53	343
134	53	342
135	53	342
136	54	342
137	54	342
138	55	341
139	55	341
140	56	342
141	56	341
142	56	341
143	57	341
144	57	340
145	58	339
146	58	339
147	58	338
148	58	336
149	59	336
150	59	336
151	60	335
152	60	335
153	61	335
154	61	334
155	61	334
156	62	334
157	62	334
158	63	334
159	63	332
160	63	332
161	64	332
162	64	332
163	65	332
164	65	331
165	65	331
166	66	330
167	66	330
168	67	330
169	67	330
170	68	331
171	68	330
172	68	329
173	69	329
174	69	329
175	70	328
176	70	328
177	70	327
178	71	327
179	71	326
180	71	325
181	72	325
182	72	324
183	73	324
184	73	324
185	74	324
186	74	324
187	75	324
188	75	323
189	75	323
190	76	322
191	76	322
192	76	321
193	77	321
194	77	320
195	78	320
196	78	319
197	78	319
198	79	319
199	79	319
200	80	319
201	80	319
202	81	318
203	81	318
204	81	317
205	82	317
206	82	316
207	83	316
208	83	316
209	84	318
210	85	317
211	85	317
212	85	317
213	86	317
214	86	317
215	87	316
216	87	316
217	88	315
218	88	315
219	88	315
220	89	314
221	89	314
222	90	313
223	90	313
224	90	312
225	91	312
226	91	311
227	92	311
228	92	311
229	93	311
230	93	311
231	93	310
232	94	310
233	94	309
234	94	309
235	95	308
236	95	308
237	96	307
238	96	307
239	96	306
240	97	306
241	97	306
242	98	306
243	98	306
244	99	306
245	99	305
246	100	305
247	100	305
248	100	304
249	101	304
250	101	303
251	102	303
252	102	302
253	102	302
254	103	301
255	103	301
256	104	300
257	104	300
258	104	300
259	105	300
260	105	299
261	106	299
262	106	299
263	107	298
264	107	298
265	107	297
266	108	297
267	108	296
268	109	296
269	109	295
270	109	295
271	110	294
272	110	294
273	111	294
274	111	294
275	112	294
276	112	293
277	112	293
278	113	292
279	113	292
280	114	291
281	114	291
282	114	291
283	115	290
284	115	290
285	116	289
286	116	289
287	116	289
288	117	289
289	118	289
290	118	288
291	118	288
292	119	287
293	119	287
294	120	286
295	120	286
296	120	285
297	121	285
298	121	284
299	121	284
300	122	284
301	122	283
302	123	283
303	123	282
304	124	282
305	124	282
306	124	281
307	125	281
308	125	281
309	126	280
310	126	280
311	126	280
312	127	279
313	127	279
314	128	278
315	128	278
316	128	277
317	129	277
318	129	277
319	130	276
320	130	276
321	131	276
322	131	276
323	132	275
324	132	275
325	133	275
326	133	274
327	133	274
328	134	274
329	134	273
330	135	273
331	135	273
332	136	273
333	137	273
334	137	272
335	137	272
336	138	272
337	139	272
338	139	272
339	140	271
340	140	271
341	140	271
342	141	270
343	141	270
344	142	270
345	142	270
346	143	269
347	143	269
348	144	268
349	144	268
350	144	267
351	145	267
352	145	267
353	146	267
354	146	266
355	147	266
356	147	266
357	148	265
358	148	265
359	149	265
360	149	265
361	150	264
362	150	264
363	151	263
364	151	263
365	151	263
366	152	262
367	152	262
368	153	262
369	153	261
370	154	261
371	154	261
372	155	261
373	155	260
374	156	260
375	156	260
376	157	259
377	157	259
378	158	259
379	158	258
380	159	258
381	159	258
382	160	257
383	160	257
384	161	257
385	161	257
386	162	257
387	163	257
388	163	256
389	164	256
390	164	256
391	164	255
392	165	255
393	166	255
394	166	254
395	166	254
396	167	254
397	167	253
398	168	253
399	168	253
400	169	253
401	170	253
402	170	252
403	171	252
404	171	252
405	171	251
406	172	251
407	172	250
408	173	250
409	173	249
410	174	249
411	174	249
412	175	248
413	175	248
414	175	248
415	176	247
416	176	247
417	177	246
418	177	246
419	177	245
420	178	245
421	178	244
422	179	244
423	179	244
424	180	243
425	180	243
426	181	243
427	181	242
428	181	242
429	182	241
430	182	241
431	183	240
432	183	240
433	183	239
434	184	239
435	184	238
436	184	238
437	185	237
438	185	237
439	186	237
440	186	236
441	187	236
442	187	236
443	188	235
444	188	235
445	189	235
446	189	234
447	190	234
448	190	233
449	190	233
450	191	232
451	191	232
452	192	232
453	192	231
454	193	231
455	193	230
456	193	230
457	194	229
458	194	229
459	195	228
460	195	228
461	195	227
462	196	227
463	196	227
464	196	226
465	197	226
466	197	225
467	198	225
468	198	225
469	199	224
470	199	224
471	199	223
472	200	223
473	200	222
474	201	222
475	201	221
476	201	221
477	202	220
478	202	220
479	203	219
480	203	219
481	203	219
482	204	218
483	204	218
484	205	218
485	205	217
486	206	217
487	206	216
488	206	216
489	207	215
490	207	215
491	208	214
492	208	214
493	208	213
494	209	213
495	209	212
496	209	212
497	210	212
498	211	211
499	211	211
500	211	211
501	212	210
502	212	210
503	213	209
504	213	209
505	214	209
506	214	208
507	214	208
508	215	207
509	215	207
510	216	206
511	216	206
512	216	205
513	217	205
514	218	205
515	218	204
516	218	204
517	219	204
518	219	203
519	219	203
520	220	202
521	220	202
522	221	201
523	221	201
524	221	200
525	222	200
526	222	199
527	223	199
528	223	199
529	224	198
530	224	198
531	224	197
532	225	197
533	225	196
534	226	196
535	226	195
536	226	195
537	227	195
538	227	194
539	227	194
540	228	193
541	228	193
542	229	192
543	229	192
544	230	192
545	230	191
546	230	191
547	231	190
548	231	190
549	232	189
550	232	189
551	232	188
552	233	188
553	233	188
554	233	187
555	234	187
556	234	186
557	235	186
558	235	185
559	236	185
560	236	185
561	236	184
562	237	184
563	237	183
564	238	183
565	238	182
566	238	182
